,trace_id,domain,arg_1_id,arg_2_id,bit_count(intervals)
111,Tcfpwc8v8HuKRyZr5Dyc-createGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,564
112,Tcfpwc8v8HuKRyZr5Dyc-gameplay-attempt-1-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,4672
113,Tcfpwc8v8HuKRyZr5Dyc-gameplay-attempt-1-rerecorded,medium,TeddyBear|-02.60|+00.60|-00.42,Bed|-02.46|00.00|-00.57,178
114,Tcfpwc8v8HuKRyZr5Dyc-gameplay-attempt-1-rerecorded,medium,building_1,Bed|-02.46|00.00|-00.57,237
115,Tcfpwc8v8HuKRyZr5Dyc-gameplay-attempt-1-rerecorded,medium,building_4,Bed|-02.46|00.00|-00.57,746
116,Tcfpwc8v8HuKRyZr5Dyc-gameplay-attempt-2-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,678
117,Tcfpwc8v8HuKRyZr5Dyc-gameplay-attempt-2-rerecorded,medium,building_2,Bed|-02.46|00.00|-00.57,22
118,Tcfpwc8v8HuKRyZr5Dyc-preCreateGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,587
119,ZBcXIZbvTS3U4IBGk1zk-createGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,910
120,ZBcXIZbvTS3U4IBGk1zk-preCreateGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,669
121,ZMqZkrMMB0PcsCeLhQqE-gameplay-attempt-1-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,2212
122,ZMqZkrMMB0PcsCeLhQqE-preCreateGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,1041
123,ZSRiFalssazyXG8Qui4j-preCreateGame-rerecorded,many,Beachball|+02.29|+00.19|-02.88,Bed|-02.46|00.00|-00.57,1
124,ZSRiFalssazyXG8Qui4j-preCreateGame-rerecorded,many,building_0,Bed|-02.46|00.00|-00.57,516
125,f2WUeVzu41E9Lmqmr2FJ-gameplay-attempt-1-rerecorded,many,GarbageCan|+00.75|-00.03|-02.74,Bed|-02.46|00.00|-00.57,1
126,gPJmGRgPdHSlBI7IMc3z-preCreateGame-rerecorded,many,Beachball|+02.29|+00.19|-02.88,Bed|-02.46|00.00|-00.57,3
127,gPJmGRgPdHSlBI7IMc3z-preCreateGame-rerecorded,many,building_2,Bed|-02.46|00.00|-00.57,952
128,gZ8ce0O2anOHAMWWJJZw-gameplay-attempt-1-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,6199
129,gZ8ce0O2anOHAMWWJJZw-gameplay-attempt-1-rerecorded,medium,SmallSlide|-00.97|+00.20|-03.02,Bed|-02.46|00.00|-00.57,2
130,gZ8ce0O2anOHAMWWJJZw-gameplay-attempt-1-rerecorded,medium,Dodgeball|-02.60|+00.13|-02.18,Bed|-02.46|00.00|-00.57,1
131,gZ8ce0O2anOHAMWWJJZw-gameplay-attempt-1-rerecorded,medium,SmallSlide|-00.97|+00.20|-03.02,Bed|-02.46|00.00|-00.57,2
132,gZ8ce0O2anOHAMWWJJZw-gameplay-attempt-1-rerecorded,medium,Dodgeball|-02.60|+00.13|-02.18,Bed|-02.46|00.00|-00.57,1
133,gZ8ce0O2anOHAMWWJJZw-preCreateGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,1441
134,jCc0kkmGUg3xUmUSXg5w-preCreateGame-rerecorded,few,Chair|+02.83|00.00|00.00,Bed|-02.46|00.00|-00.57,1
135,jYnmaydkg4c0KmGFfgp3-createGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,246
136,jYnmaydkg4c0KmGFfgp3-editGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,6307
137,jYnmaydkg4c0KmGFfgp3-gameplay-attempt-1-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,1692
138,jYnmaydkg4c0KmGFfgp3-gameplay-attempt-1-rerecorded,medium,building_14,Bed|-02.46|00.00|-00.57,112
139,jYnmaydkg4c0KmGFfgp3-preCreateGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,315
140,jhO40BilcfyPMScEKLiE-gameplay-attempt-1-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,165
141,jhO40BilcfyPMScEKLiE-preCreateGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,177
142,ktwB7wT09sh4ivNme3Dw-createGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,1156
143,ktwB7wT09sh4ivNme3Dw-gameplay-attempt-1-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,317
144,ktwB7wT09sh4ivNme3Dw-preCreateGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,255
145,ktwB7wT09sh4ivNme3Dw-preCreateGame-rerecorded,medium,BasketBall|-02.58|+00.12|-01.93,Bed|-02.46|00.00|-00.57,1
146,me2bPEvz4glQ1Q8GSfm8-createGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,1286
147,me2bPEvz4glQ1Q8GSfm8-createGame-rerecorded,medium,building_2,Bed|-02.46|00.00|-00.57,223
148,me2bPEvz4glQ1Q8GSfm8-freePlay-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,16
149,me2bPEvz4glQ1Q8GSfm8-gameplay-attempt-1-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,2493
150,me2bPEvz4glQ1Q8GSfm8-gameplay-attempt-2-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,385
